#group key, permission
FARE_BASIC, PERM_CHANGE_USER_PASSWORD
FARE_BASIC, PERM_ADD_USER
FARE_BASIC, PERM_VIEW_ACCESS_GROUPS
FARE_BASIC, PERM_VIEW_COMMAND
FARE_BASIC, PERM_VIEW_FARE
REPORT, PERM_ADMIN_USER
REPORT, PERM_VIEW_USER
REPORT, PERM_CHANGE_USER_PASSWORD
REPORT, PERM_ADD_USER
REPORT, PERM_VIEW_ACCESS_GROUPS
REPORT, PERM_VIEW_REPORTS
REPORT, PERM_VIEW_BOOKING_SEARCH
REPORT, PERM_VIEW_REPORT_BOOKINGS
REPORT, PERM_VIEW_REPORT_BOOKING_ERRORS
REPORT, PERM_VIEW_REPORT_PRICING
REPORT, PERM_EXPORT_WEEKLY_MONTHLY_REPORTS
REPORT_BASIC, PERM_ADMIN_USER
REPORT_BASIC, PERM_VIEW_USER
REPORT_BASIC, PERM_CHANGE_USER_PASSWORD
REPORT_BASIC, PERM_ADD_USER
REPORT_BASIC, PERM_VIEW_ACCESS_GROUPS
REPORT_BASIC, PERM_VIEW_REPORTS
REPORT_BASIC, PERM_VIEW_REPORT_BOOKINGS
REPORT_BASIC, PERM_EXPORT_WEEKLY_MONTHLY_REPORTS
DEAL, PERM_ADMIN_USER
DEAL, PERM_VIEW_USER
DEAL, PERM_CHANGE_USER_PASSWORD
DEAL, PERM_ADD_USER
DEAL, PERM_VIEW_ACCESS_GROUPS
DEAL, PERM_VIEW_DEALS
DEAL, PERM_DEAL_MANAGE_DEAL
DEAL, PERM_DEAL_FIND_DEAL
DEAL, PERM_VIEW_ENTITLEMENTS
DEAL, PERM_ADD_ENTITLEMENTS
DEAL, PERM_DEAL_ADD_FARE_OFFERINGS
DEAL, PERM_DEAL_ADD_PRICEMODIFIER_OFFERINGS
DEAL, PERM_ALLOW_SINGLEUSE_OFFERINGS
DEAL, PERM_ALLOW_MULTIUSE_OFFERINGS
DEAL, PERM_ALLOW_CONTINUAL_OFFERINGS
AIRLINE, PERM_ADMIN_USER
AIRLINE, PERM_VIEW_USER
AIRLINE, PERM_CHANGE_USER_PASSWORD
AIRLINE, PERM_ADD_USER
AIRLINE, PERM_VIEW_ACCESS_GROUPS
AIRLINE, PERM_VIEW_AIRLINE_CONFIG
AIRLINE, PERM_VIEW_RESOURCES
AIRLINE, PERM_VIEW_CONFIG
AIRLINE, PERM_VIEW_ENTITLEMENTS
AIRLINE, PERM_VIEW_COMMAND
AIRLINE, PERM_VIEW_PAYMENT_OPTIONS
AIRLINE, PERM_VIEW_ACCESS_GROUPS
AIRLINE, PERM_LOAD_TEST
AIRLINE, PERM_VIEW_REGION
SYSTEM, PERM_ADMIN_USER
SYSTEM, PERM_VIEW_USER
SYSTEM, PERM_CHANGE_USER_PASSWORD
SYSTEM, PERM_ADD_USER
SYSTEM, PERM_VIEW_ACCESS_GROUPS
SYSTEM, PERM_VIEW_SYSTEM_CONFIG
SYSTEM, PERM_VIEW_WEB_USAGE
SYSTEM, PERM_VIEW_SCHEDULES
SYSTEM, PERM_FLUSH_CACHE
SYSTEM, PERM_VIEW_CONFIG
SYSTEM, PERM_VIEW_ENTITLEMENT
SYSTEM, PERM_VIEW_ACCESS_GROUPS
SYSTEM, PERM_ADD_ENTITLEMENTS
SYSTEM, PERM_VIEW_TAX_CACHE_HASH_CONTROL
SYSTEM, PERM_ADD_TAX_CACHE_HASH_CONTROL
SYSTEM, PERM_VIEW_TAX_CACHE
EB2ADMIN, PERM_VIEW_SYSTEM_CONFIG
EB2ADMIN, PERM_VIEW_WEB_USAGE
EB2ADMIN, PERM_VIEW_AIRLINE_CONFIG
EB2ADMIN, PERM_DEAL_FIND_DEAL
EB2ADMIN, PERM_DEAL_MANAGE_DEAL
EB2ADMIN, PERM_VIEW_DEALS
EB2ADMIN, PERM_VIEW_BOOKING_SEARCH
EB2ADMIN, PERM_FARE_UPDATE_FILTERS
EB2ADMIN, PERM_EDIT_ACCOUNT_COUNTRIES_OR_TYPES
EB2ADMIN, PERM_LOAD_TEST
WEBUSAGE, PERM_VIEW_WEB_USAGE
WEBUSAGE, PERM_VIEW_SYSTEM_CONFIG
