BKK,GMT+07:00,TH
CNX,GMT+07:00,TH
HKG,GMT+08:00,HK
USM,GMT+07:00,TH
KBV,GMT+07:00,TH
LPQ,GMT+07:00,LA
MLE,GMT+05:00,MV
PNH,GMT+07:00,KH
HKT,GMT+07:00,TH
REP,GMT+07:00,KH
SIN,GMT+08:00,SG
THS,GMT+07:00,TH
TDX,GMT+07:00,TH
RGN,GMT+06:30,MM
LPT,GMT+07:00,TH
UTP,GMT+07:00,TH
