# type
Advertising
Aerospace
Apparel
Automotive
Chemicals
Computers
Construction
Electrical
Electronics
Energy
Financial
Food
Furniture
Glass
Health
IT
Machinery
Media
Metal
Paper
Railroads
Recreation
Restaurants
Retail
Rubber
Services
Shipping
Steel
Telecommunications
Tobacco
Travel
Trucking
